[2023-05-28T20:31:15.509552200] [452, 39, Nata] [Television,LG,none,27,LED,AE,200, Telephone,S-90,Samsung,none,QLED,none,900]
[2023-05-28T20:31:15.525562600] [541, 29, Nata] [Television,Samsung,none,29,LED,UA,1200, Television,Samsung,none,29,LED,UA,1200]
[2023-05-28T20:31:15.526563300] [757, 37, Nata] [Telephone,S-40,Samsung,none,QLED,none,500, Television,Samsung,none,29,LED,,1200]
[2023-05-28T20:31:15.526563300] [600, 11, Nata] [Telephone,S-90,Samsung,none,QLED,none,900, Television,RTI-14,none,28,LED,Germany,1100]
[2023-05-28T20:31:15.527564] [890, 39, Nata] [Television,Acer,none,25,LED,Japan,1000, Telephone,XS,Apple,none,QLED,none,600]
[2023-05-28T20:31:15.528565200] [717, 11, Nata] [Television,RTI-14,none,28,LED,Germany,1100, Television,RTI-14,none,26,LED,China,500]
[2023-05-28T20:31:15.529565] [244, 16, Nata] [Telephone,S-90,Samsung,none,QLED,none,900, Telephone,X,Apple,none,QLED,none,200]
[2023-05-28T20:31:15.530566600] [942, 31, Nata] [Television,Samsung,none,29,LED,UA,1200, Television,RTI-14,none,28,LED,Germany,1100]
[2023-05-28T20:31:15.531566900] [833, 13, Nata] [Television,Samsung,none,29,LED,,1200, Telephone,X,Apple,none,QLED,none,200]
[2023-05-28T20:31:15.532567600] [105, 31, Nata] [Television,RTI-14,none,28,LED,Germany,1100, Telephone,S-40,Samsung,none,QLED,none,500]
[2023-05-28T20:31:15.533568300] [998, 38, Nata] [Television,Samsung,none,29,LED,,1200, Telephone,S-90,Samsung,none,QLED,none,900]
[2023-05-28T20:31:15.534569] [114, 12, Nata] [Telephone,XS,Apple,none,QLED,none,600, Television,RTI-14,none,28,LED,Germany,1100]
[2023-05-28T20:31:15.535569700] [404, 26, Nata] [Television,Samsung,none,29,LED,,1200, Television,Acer,none,25,LED,Japan,1000]
[2023-05-28T20:31:15.535569700] [324, 31, Nata] [Telephone,XS,Apple,none,QLED,none,600, Television,Samsung,none,29,LED,UA,1200]
[2023-05-28T20:31:15.536571400] [402, 12, Nata] [Television,LG,none,27,LED,AE,200, Television,Samsung,none,29,LED,UA,1200]
